Tmean,Tsd_short,Tsd,CTmax_CTmin_hv
14,2.5,0,15.884102232132
14.8,2.5,0,16.7657627614223
15.6,2.5,0,16.1014700300441
16.4,2.5,0,16.3665970563725
17.2,2.5,0,17.0606644208715
18,2.5,0,18.2573492539945
18.8,2.5,0,17.793808236478
19.6,2.5,0,19.1726232469346
20.4,2.5,0,20.4363038033166
21.2,2.5,0,21.342671600553
22,2.5,0,21.8924777407703
