Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
14,0,2.5,13.598685,25.397949,23.372677,386,0
14,0,2.5,-11.306615,41.397344,23.699745,603,0
14,0,2.5,1.558654,29.674658,25.119388,802,0
14,0,2.5,0.559126,39.380581,23.461883,867,0
14,0,2.5,-2.488968,33.563162,25.676164,263,0
14,0,2.5,3.189178,43.483803,26.312101,177,0
14,0,2.5,17.026929,35.857633,27.691208,97,0
14,0,2.5,-0.241084,42.359846,27.223211,224,0
14,0,2.5,10.131516,33.078661,28.373975,194,0
14,0,2.5,9.221252,31.71271,25.128159,199,0
14,0,2.5,22.495091,33.035887,26.086386,60,0
14,0,2.5,12.31918,29.663903,26.421653,215,0
14,0,2.5,10.318434,34.928496,24.577778,179,0
14,0,2.5,15.352574,34.568455,26.987881,103,0
14,0,2.5,-2.122467,34.462562,25.190568,450,0
14,0,2.5,15.975814,39.029509,25.45243,121,0
14,0,2.5,9.74011,39.809718,25.878369,99,0
14,0,2.5,14.727264,27.888608,21.2214,106,0
14,0,2.5,3.851316,27.654568,23.96219,215,0
14,0,2.5,2.863077,29.861545,23.465831,302,0
14,0,2.5,12.579729,42.90707,24.574997,108,0
14,0,2.5,21.247399,34.02316,22.993876,132,0
14,0,2.5,4.380094,42.845136,28.552171,99,0
14,0,2.5,12.421515,31.501605,26.312151,76,0
14,0,2.5,10.273026,31.696511,27.049579,206,0
14,0,2.5,3.944266,30.968029,22.796718,439,0
14,0,2.5,12.124504,36.009242,25.636408,137,0
14,0,2.5,1.766536,41.403549,25.156898,122,0
14,0,2.5,2.786557,30.856441,23.379203,223,0
14,0,2.5,15.470504,43.251538,29.691415,108,0
14,0,2.5,10.042845,37.449232,25.191017,60,0
14,0,2.5,2.035974,32.43775,23.352054,210,0
14,0,2.5,11.059219,40.096144,26.537232,86,0
14,0,2.5,11.764516,32.031167,23.936053,183,0
14,0,2.5,5.620862,38.232903,25.195971,169,0
14,0,2.5,13.065152,36.099763,24.108908,132,0
14,0,2.5,-1.214417,30.719158,24.411412,258,0
14,0,2.5,7.278532,37.549282,28.21611,139,0
14,0,2.5,5.425621,30.79871,24.310546,280,0
14,0,2.5,5.628374,32.451616,24.448575,125,0
14,0,2.5,16.146425,47.590497,27.189561,114,0
14,0,2.5,2.709907,36.247007,24.802525,108,0
14,0,2.5,3.341212,31.525546,24.879949,174,0
14,0,2.5,6.420278,35.075084,25.51811,207,0
14,0,2.5,1.056601,36.6798,26.360485,326,0
14,0,2.5,12.884295,26.717042,23.841557,133,0
14,0,2.5,-3.210779,36.164678,24.087032,144,0
14,0,2.5,22.313567,38.743462,22.920119,108,0
14,0,2.5,-1.419973,35.055488,26.930668,500,0
14,0,2.5,9.433564,39.358308,26.774201,257,0
14,0,2.5,-0.041855,37.00402,24.261405,487,0
14,0,2.5,-3.880967,31.262129,23.064552,405,0
14,0,2.5,-2.546662,30.230567,25.0343,503,0
14,0,2.5,5.551379,33.491803,26.610173,99,0
14,0,2.5,14.60207,39.80037,26.173201,99,0
14,0,2.5,-3.146192,28.353672,23.134206,45554,0
14,0,2.5,15.550979,37.321841,28.486272,77,0
14,0,2.5,5.455787,28.375148,26.403604,274,0
14,0,2.5,12.020125,34.322996,23.829542,170,0
14,0,2.5,3.249137,39.892034,25.965153,145,0
14,0,2.5,15.959792,36.908827,23.884587,80,0
14,0,2.5,8.60345,26.146345,20.490097,147,0
14,0,2.5,13.414247,31.228726,26.854043,154,0
14,0,2.5,17.911293,23.806947,23.206289,136,0
14,0,2.5,20.083404,37.724595,25.994817,100,0
14,0,2.5,7.203772,33.038963,25.780064,233,0
14,0,2.5,2.417784,26.005792,24.299085,215,0
14,0,2.5,16.92396,32.377604,23.752704,90,0
14,0,2.5,1.664396,37.155065,27.551804,93,0
14,0,2.5,-1.994804,36.650244,18.784318,187,0
14,0,2.5,20.402045,40.027515,28.25755,63,0
14,0,2.5,10.626276,35.462044,26.077997,126,0
14,0,2.5,8.826742,38.766279,22.701141,171,0
14,0,2.5,9.60211,38.058709,25.585841,102,0
14,0,2.5,10.064609,36.205587,29.132882,66,0
14,0,2.5,-3.208514,36.330642,24.076603,179,0
14,0,2.5,12.462761,35.18224,26.566559,60,0
14,0,2.5,9.502554,28.928763,24.437192,97,0
14,0,2.5,8.250193,25.389309,21.120644,1004,0
14,0,2.5,9.61365,33.202263,24.420769,309,0
14,0,2.5,17.96768,40.816911,22.277684,158,0
14,0,2.5,5.712934,35.929068,24.888859,228,0
14,0,2.5,1.73198,30.385631,24.158912,428,0
14,0,2.5,6.300834,25.658408,25.07741,365,0
14,0,2.5,-0.695804,33.828713,27.484206,197,0
14,0,2.5,1.157506,35.011403,24.127917,294,0
14,0,2.5,0.755845,29.412002,21.514985,2053,0
14,0,2.5,1.420989,26.531833,23.724542,478,0
14,0,2.5,7.956746,29.436004,25.967491,166,0
14,0,2.5,14.125838,36.312346,26.417212,128,0
14,0,2.5,0.79803,33.042711,23.381799,237,0
14,0,2.5,5.872618,39.649136,27.732412,142,0
14,0,2.5,13.62539,39.798726,25.150534,108,0
14,0,2.5,11.75238,34.482266,25.194276,111,0
14,0,2.5,11.064639,34.670082,25.468787,94,0
14,0,2.5,3.62655,47.561627,27.483708,118,0
14,0,2.5,13.456299,38.496666,24.761381,130,0
14,0,2.5,-13.555985,38.907135,24.590447,157,0
14,0,2.5,15.506066,40.248262,26.0093,92,0
14,0,2.5,7.864524,27.436427,24.098805,256,0
14,0,2.5,10.655885,27.933732,21.645126,165,0
14,0,2.5,15.424667,37.031424,27.043554,95,0
14,0,2.5,17.627763,36.959569,25.696838,81,0
14,0,2.5,14.3602,40.351069,25.532508,90,0
14,0,2.5,23.673578,38.59292,26.412809,70,0
14,0,2.5,24.393072,31.061474,27.465022,53,0
14,0,2.5,3.465634,32.041195,23.338171,93,0
14,0,2.5,2.578673,37.725277,26.025614,87,0
14,0,2.5,10.897169,38.947004,23.761411,99,0
14,0,2.5,8.024274,39.820072,24.827111,117,0
14,0,2.5,5.022899,33.292219,27.076165,114,0
14,0,2.5,20.807255,42.304198,22.165133,106,0
14,0,2.5,-1.866145,30.056699,23.415046,635,0
14,0,2.5,-0.611953,37.979535,22.527322,236,0
14,0,2.5,2.090593,36.402606,25.484296,183,0
14,0,2.5,3.980499,33.46345,25.068544,215,0
14,0,2.5,10.519109,32.786433,24.065043,95,0
14,0,2.5,6.731141,42.829857,25.863172,188,0
14,0,2.5,-1.930873,31.52907,27.444834,184,0
14,0,2.5,11.124817,37.897943,22.666408,80,0
14,0,2.5,-3.690245,40.489869,22.112062,347,0
14,0,2.5,20.309905,32.670577,27.66076,117,0
14,0,2.5,18.8568,38.935108,25.841344,67,0
14,0,2.5,13.503421,48.249297,26.951729,164,1
14,0,2.5,9.502947,43.286831,25.475143,272,1
14,0,2.5,11.571633,36.833922,24.092818,398,1
14,0,2.5,-1.458123,39.949265,25.932793,512,1
14,0,2.5,-6.356635,46.116019,24.842699,376,1
14,0,2.5,4.303294,40.880377,27.155764,325,1
14,0,2.5,19.415216,31.195485,24.713877,85,1
14,0,2.5,13.432478,30.072393,21.717031,140,1
14,0,2.5,20.325967,44.954369,24.690556,107,1
14,0,2.5,7.136835,37.220676,27.866537,85,1
14,0,2.5,7.800962,42.691806,26.471396,129,1
14,0,2.5,7.362069,40.004044,26.524113,321,1
14,0,2.5,3.598401,37.909475,27.173733,186,1
14,0,2.5,5.055159,42.306212,25.001106,243,1
14,0,2.5,-0.006553,43.385838,23.579016,253,1
14,0,2.5,4.33796,36.278423,27.97361,253,1
14,0,2.5,4.923855,33.58604,24.475647,13789,1
14,0,2.5,8.595109,41.728115,24.123718,123,1
14,0,2.5,13.412402,39.883985,27.372544,89,1
14,0,2.5,8.879803,37.634956,25.780604,212,1
14,0,2.5,15.862809,28.220626,21.138602,90,1
14,0,2.5,4.565191,39.172968,29.053075,82,1
14,0,2.5,9.777664,40.331745,26.5776,96,1
14,0,2.5,11.942095,35.638417,22.039303,223,1
14,0,2.5,15.425471,38.258548,24.024467,176,1
14,0,2.5,-4.158537,34.676396,25.93871,134,1
14,0,2.5,0.231576,33.572594,23.767775,317,1
14,0,2.5,16.453407,44.378654,25.109738,152,1
14,0,2.5,12.522335,42.911868,26.285128,154,1
14,0,2.5,11.092282,35.706918,25.723101,97,1
14,0,2.5,16.227109,42.595572,25.66222,160,1
14,0,2.5,4.657168,33.0624,23.825254,117,1
14,0,2.5,7.420888,31.530384,23.439569,172,1
14,0,2.5,-2.798496,36.606885,22.464628,110,1
14,0,2.5,26.32062,46.063176,28.192124,107,1
14,0,2.5,5.247626,42.867031,24.793709,154,1
14,0,2.5,13.46742,35.760747,28.646455,116,1
14,0,2.5,11.84703,27.56437,26.647427,115,1
14,0,2.5,4.359806,31.830057,23.1308,246,1
14,0,2.5,6.263453,36.449719,25.307512,119,1
14,0,2.5,9.139776,44.490739,26.267144,73,1
14,0,2.5,4.934095,31.377575,21.974861,164,1
14,0,2.5,9.813026,30.116486,26.016432,106,1
14,0,2.5,0.021742,32.705184,24.666683,231,1
14,0,2.5,8.945346,28.278945,20.874712,113,1
14,0,2.5,11.029824,26.865478,24.353221,200,1
14,0,2.5,7.8817,41.027272,23.90909,73,1
14,0,2.5,11.620755,42.571862,27.38786,67,1
14,0,2.5,4.971045,39.614044,27.87412,100,1
14,0,2.5,1.304192,36.816356,27.856745,89,1
14,0,2.5,5.047099,42.69631,29.362541,101,1
14,0,2.5,5.718451,36.134732,26.342936,128,1
14,0,2.5,-3.666088,30.340622,21.647843,844,1
14,0,2.5,-15.470561,36.067253,23.362419,159,1
14,0,2.5,5.324706,31.524401,21.476356,210,1
14,0,2.5,-5.622992,38.873312,24.036908,397,1
14,0,2.5,11.927626,36.518494,22.671953,67,1
14,0,2.5,18.746446,31.694566,24.68613,145,1
14,0,2.5,17.944792,37.956156,26.513444,107,1
14,0,2.5,10.933212,37.420779,26.081826,168,1
14,0,2.5,14.280842,29.043495,26.807612,253,1
14,0,2.5,15.59346,33.848445,26.360097,121,1
14,0,2.5,14.545785,36.616708,24.103744,144,1
14,0,2.5,13.933724,32.161947,23.498079,138,1
14,0,2.5,21.071962,45.468986,28.968638,215,1
14,0,2.5,6.227151,36.649224,24.539622,11644,1
14,0,2.5,15.864182,42.914271,24.311156,136,1
14,0,2.5,8.576461,39.96422,22.705976,108,1
14,0,2.5,11.143534,27.543402,25.141224,17727,1
14,0,2.5,6.023874,32.29092,28.271011,31972,1
14,0,2.5,17.128145,34.363733,24.978472,96,1
14,0,2.5,14.161428,38.026645,26.600759,207,2
14,0,2.5,17.042296,32.589517,27.685051,109,2
14,0,2.5,4.187703,40.66249,26.301268,3338,2
14,0,2.5,0.415949,50.861166,29.056166,216,2
14,0,2.5,15.229506,31.07278,24.694496,138,2
14,0,2.5,14.310712,45.010655,26.353603,85,2
14,0,2.5,24.52545,41.496182,26.12035,143,2
14,0,2.5,-12.289902,40.811101,27.389736,1257,2
14,0,2.5,14.818935,41.028221,26.718094,83,2
14,0,2.5,9.923241,39.205333,24.246752,271,2
14,0,2.5,8.082453,34.616082,27.432081,596,2
14,0,2.5,12.820333,34.485647,24.5866,76,2
14,0,2.5,7.834051,37.445207,23.9693,220,2
14,0,2.5,12.294688,37.587234,28.458997,140,2
14,0,2.5,24.958995,31.228189,26.388144,110,2
14,0,2.5,8.729989,31.509113,23.780397,30326,2
14,0,2.5,-6.686399,43.927774,27.264357,18801,2
14,0,2.5,14.294673,27.180155,24.077743,296,2
14,0,2.5,1.981892,40.319026,24.624375,5086,2
14,0,2.5,14.831852,36.516202,26.206089,84,2
14,0,2.5,6.924208,37.309179,25.982002,378,2
14,0,2.5,14.328235,30.804325,26.209091,176,2
14,0,2.5,16.021901,31.904441,25.246677,69,2
14,0,2.5,25.597205,39.902641,26.6162,79,2
14,0,2.5,19.257891,43.482769,26.703087,89,2
14,0,2.5,12.643583,40.464559,23.496282,109,2
14,0,2.5,4.423639,39.225273,25.299989,11177,2
14,0,2.5,8.743633,38.922695,27.822983,113,2
14,0,2.5,11.578844,41.049897,27.648291,63,2
14,0,2.5,20.876962,34.506701,23.179594,96,2
14,0,2.5,9.807888,28.448376,26.073808,17112,2
14,0,2.5,18.204033,35.697373,23.521811,116,2
14,0,2.5,4.767283,44.826635,27.975957,197,2
14,0,2.5,15.149305,26.724132,22.683476,85,2
14,0,2.5,3.885228,32.17913,24.494568,52113,2
14,0,2.5,19.096901,39.174144,29.121401,181,2
14,0,2.5,15.18863,32.379215,25.135471,72,2
14,0,2.5,13.401949,32.967459,24.830424,190,2
14,0,2.5,18.863927,36.981168,25.248583,104,2
14,0,2.5,10.118259,37.628425,24.402717,92,2
14,0,2.5,-6.564497,42.673739,22.937221,63056,2
14,0,2.5,20.900884,39.82016,25.464794,104,2
14,0,2.5,8.260924,33.395772,23.338833,2130,2
14,0,2.5,13.821825,37.22641,24.649878,112,2
14,0,2.5,9.905829,27.484959,23.476184,56566,2
14,0,2.5,7.226176,39.350006,27.582973,107,2
14,0,2.5,16.847926,40.227282,26.953988,73,2
14,0,2.5,13.395452,31.086261,24.241865,132,2
14,0,2.5,6.036792,35.608251,26.923997,2750,2
14,0,2.5,0.879283,38.808762,25.84943,2322,2
14,0,2.5,12.742204,32.792519,28.14409,134,2
14,0,2.5,-1.076441,37.175498,27.256553,21017,2
14,0,2.5,0.89458,34.123396,25.782627,38446,2
14,0,2.5,6.170154,37.863254,25.831665,253,2
14,0,2.5,7.853062,38.697345,28.065796,214,2
14,0,2.5,7.318269,32.125859,24.217625,932,2
14,0,2.5,15.372915,29.672293,21.26694,197,2
14,0,2.5,6.198892,38.334522,24.86668,220,2
14,0,2.5,12.892479,34.767054,24.479659,183,2
14,0,2.5,8.232627,36.171624,23.45392,307,2
14,0,2.5,11.407506,37.482336,24.851205,71,2
14,0,2.5,8.907026,33.887383,26.074381,149,2
14,0,2.5,16.280422,30.511139,24.943602,155,3
14,0,2.5,15.06306,30.046648,26.643702,249,3
14,0,2.5,14.333488,34.38792,29.426029,307,3
14,0,2.5,12.284407,38.069879,27.650425,171,3
14,0,2.5,7.410582,36.358736,26.891889,786,3
14,0,2.5,12.153021,31.71775,24.267346,5379,3
14,0,2.5,14.713917,35.517795,24.133334,92,3
14,0,2.5,16.74115,35.417009,25.913895,119,3
14,0,2.5,14.608967,27.937424,21.049754,323,3
14,0,2.5,12.255028,31.37676,25.420848,119,3
14,0,2.5,21.770393,35.591411,25.462064,175,3
14,0,2.5,17.837934,30.322828,26.607043,222,3
14,0,2.5,21.506826,38.309917,24.451598,84,3
14,0,2.5,13.683609,29.901289,24.939746,84,3
14,0,2.5,8.540038,33.22356,25.301336,2288,3
14,0,2.5,-1.672792,42.871553,26.853648,82,3
14,0,2.5,16.705973,31.816568,26.586281,194,3
14,0,2.5,-0.526629,40.643989,28.569765,17559,3
14,0,2.5,11.222787,34.225861,22.944305,13203,3
14,0,2.5,10.294443,40.843275,22.854896,244,3
14,0,2.5,6.630905,33.076787,26.501358,5536,3
14,0,2.5,23.776055,42.883377,26.330491,193,3
14,0,2.5,10.818665,29.989383,23.676983,375,3
14,0,2.5,20.202074,33.259508,24.79819,95,3
14,0,2.5,20.012184,35.424083,25.840207,90,3
14,0,2.5,8.804409,38.686241,26.870748,210,3
14,0,2.5,8.853523,40.187944,25.76527,390,3
14,0,2.5,14.627021,35.997864,23.958354,92,3
14,0,2.5,7.67414,35.114667,24.193254,12856,3
14,0,2.5,23.933253,40.87528,24.109286,79,3
14,0,2.5,8.295158,33.310777,26.888919,258,3
14,0,2.5,7.028792,29.947493,28.827509,3753,3
14,0,2.5,7.066355,39.829705,27.617546,118,3
14,0,2.5,3.437882,39.797816,25.763484,13117,3
14,0,2.5,11.680049,30.618815,22.013236,644,3
14,0,2.5,23.281822,33.408903,24.476249,69,3
14,0,2.5,1.3745,38.359403,25.349033,52358,3
14,0,2.5,11.084534,36.436234,28.270079,61,3
14,0,2.5,3.299307,36.499704,29.13622,444,3
14,0,2.5,13.570861,29.576927,25.278871,177,3
14,0,2.5,16.659812,36.841096,26.510641,108,3
14,0,2.5,11.884785,29.402767,22.598858,281,3
14,0,2.5,14.562819,39.725202,27.557697,186,3
14,0,2.5,4.354213,36.882245,25.231965,74414,3
14,0,2.5,17.000012,33.822251,27.786967,53,3
14,0,2.5,22.94413,42.765856,25.568757,113,3
14,0,2.5,15.394637,30.240598,24.531158,101,3
14,0,2.5,3.499973,34.231038,28.836961,198,3
14,0,2.5,7.384744,38.152502,26.428843,461,3
14,0,2.5,7.496539,38.648694,24.325214,342,3
14,0,2.5,12.058327,34.261943,24.106692,275,3
14,0,2.5,6.809584,40.166397,27.201709,96,3
14,0,2.5,7.122311,37.59793,28.012164,133,3
14,0,2.5,1.342246,38.190316,24.592798,52201,3
14,0,2.5,7.386215,37.317166,25.067579,1332,3
14,0,2.5,11.108265,32.06799,26.001081,177,3
14,0,2.5,8.66916,42.255736,27.446881,223,3
14,0,2.5,4.182488,39.446638,24.784851,437,3
14,0,2.5,9.936843,42.458769,25.51545,192,3
14,0,2.5,-0.166148,37.292822,25.022459,59752,3
14,0,2.5,11.770115,37.87448,23.543808,126,3
14,0,2.5,11.137457,30.220934,25.284081,324,3
14,0,2.5,17.10439,32.605939,23.438377,144,3
14,0,2.5,8.738233,36.482151,23.023553,1866,3
14,0,2.5,2.269592,36.962795,25.705225,66062,3
14,0,2.5,16.206067,33.016698,22.571332,213,4
14,0,2.5,13.481971,32.235962,25.810639,437,4
14,0,2.5,20.428991,37.297589,27.746847,109,4
14,0,2.5,13.734756,33.219815,27.029005,84,4
14,0,2.5,5.559179,45.17694,25.628023,290,4
14,0,2.5,0.912955,34.471068,25.69217,1342,4
14,0,2.5,12.63104,29.562353,24.682573,530,4
14,0,2.5,13.461647,34.561746,25.968752,201,4
14,0,2.5,21.495116,34.886586,23.974805,82,4
14,0,2.5,9.216822,34.17231,22.658072,6796,4
14,0,2.5,8.469254,35.546841,24.522004,14513,4
14,0,2.5,-8.673225,41.801441,26.266272,378,4
14,0,2.5,9.153517,39.169608,26.759931,158,4
14,0,2.5,19.053396,35.821316,23.593368,88,4
14,0,2.5,5.2966,33.618043,26.98544,17103,4
14,0,2.5,12.359909,35.573002,26.695564,162,4
14,0,2.5,9.906972,31.506554,25.879672,1264,4
14,0,2.5,10.435268,27.191216,26.386738,10333,4
14,0,2.5,13.653081,33.181673,25.787256,52,4
14,0,2.5,4.161444,45.469346,27.87875,86,4
14,0,2.5,16.482226,26.12791,25.024265,145,4
14,0,2.5,7.595544,33.43659,23.399816,21755,4
14,0,2.5,6.668852,36.91468,23.421361,18487,4
14,0,2.5,16.380822,33.640655,22.206945,78,4
14,0,2.5,0.871344,41.862622,26.521318,261,4
14,0,2.5,-4.119075,39.510231,26.617839,6199,4
14,0,2.5,4.10926,36.239397,25.89414,257,4
14,0,2.5,8.441375,29.337137,26.913181,27353,4
14,0,2.5,-4.405263,44.00003,22.146839,34166,4
14,0,2.5,1.893257,41.690904,24.163973,711,4
14,0,2.5,4.714442,31.088362,26.762936,1209,4
14,0,2.5,26.730287,32.838004,27.127975,79,4
14,0,2.5,5.383382,31.14238,28.54534,33918,4
14,0,2.5,19.510058,34.600777,24.271781,67,4
14,0,2.5,11.443367,39.197245,28.921646,320,4
14,0,2.5,13.681541,33.419534,24.49419,130,4
14,0,2.5,9.62685,27.502199,24.783936,39168,4
14,0,2.5,11.243991,27.605094,26.277022,337,4
14,0,2.5,-1.755906,39.738735,22.719918,917,4
14,0,2.5,16.653174,35.187169,23.55994,111,4
14,0,2.5,12.426247,32.858163,26.359898,129,4
14,0,2.5,5.961888,36.642083,22.856911,505,4
14,0,2.5,2.570897,41.650961,26.720204,258,4
14,0,2.5,23.810574,38.186333,26.337021,94,4
14,0,2.5,11.856768,32.803159,24.936524,133,4
14,0,2.5,-14.373644,37.853588,26.64987,1042,4
14,0,2.5,5.717117,33.116014,22.487521,41503,4
14,0,2.5,15.323036,31.452629,28.252565,99,4
14,0,2.5,16.450488,33.574518,24.761996,128,4
14,0,2.5,4.392662,36.383761,25.40391,30688,4
14,0,2.5,16.55359,34.958062,22.88697,133,4
14,0,2.5,-5.732903,39.337282,25.307967,9860,4
14,0,2.5,13.18068,36.787886,24.490867,200,4
14,0,2.5,3.775134,36.052977,26.772925,1018,4
14,0,2.5,8.640249,37.674099,27.164813,388,4
14,0,2.5,-1.63278,45.145867,25.597976,238,4
14,0,2.5,-1.671644,29.898851,24.114119,11703,4
14,0,2.5,18.669622,33.535531,27.806346,74,4
14,0,2.5,-17.223525,37.474121,22.291578,184,4
14,0,2.5,12.968556,38.753261,24.029089,111,4
14,0,2.5,10.548986,39.546255,27.828226,169,4
14,0,2.5,5.936046,36.927931,24.614856,245,4
14,0,2.5,6.179496,32.299362,25.050172,475,4
14,0,2.5,1.014099,37.779364,23.870237,173,4
14,0,2.5,8.446221,34.785091,20.510502,79485,4
14,0,2.5,15.355353,28.842869,24.973856,226,4
14,0,2.5,11.826899,35.403283,23.514392,149,4
14,0,2.5,6.947365,37.485226,21.922684,160,4
14,0,2.5,5.490488,37.894392,20.098136,16140,4
14,0,2.5,9.811613,34.915782,24.929534,167,4
14,0,2.5,14.269298,37.007963,26.232351,84,4
14,0,2.5,-3.427362,35.284561,22.205592,87333,4
14,0,2.5,10.039503,36.871286,25.793351,214,4
14,0,2.5,16.203525,28.093049,24.09647,86,4
14,0,2.5,19.271525,31.317896,22.394005,160,4
14,0,2.5,6.816694,40.235285,24.671753,129,4
14,0,2.5,11.291078,39.191989,28.481817,190,4
14,0,2.5,7.851741,32.695331,26.604781,235,4
14,0,2.5,-5.490254,34.717157,24.338805,263,4
14,0,2.5,5.752595,32.516363,24.902087,645,4
14,0,2.5,15.776877,32.443978,25.026814,86,4
14,0,2.5,-5.379194,32.020909,26.348921,295,4
14,0,2.5,13.747043,44.718221,24.748449,134,4
14,0,2.5,0.870898,33.878328,25.653401,806,4
14,0,2.5,3.104412,34.846451,24.693729,3949,4
14,0,2.5,21.109337,38.661448,21.392291,195,5
14,0,2.5,21.448338,32.840376,29.331065,79,5
14,0,2.5,15.195225,40.393799,25.894158,88,5
14,0,2.5,24.607294,40.461432,28.902861,81,5
14,0,2.5,17.135436,39.382318,25.791141,69,5
14,0,2.5,1.486119,40.089985,26.125337,16351,5
14,0,2.5,23.091914,30.817169,28.810175,83,5
14,0,2.5,16.445811,45.660885,29.443602,151,5
14,0,2.5,7.591085,35.564036,23.403929,7564,5
14,0,2.5,17.303369,31.987678,24.341409,44,5
14,0,2.5,9.039268,33.307581,25.938667,10519,5
14,0,2.5,6.35189,36.096186,25.56039,145,5
14,0,2.5,5.467133,38.526728,24.485704,20031,5
14,0,2.5,10.865813,40.417974,28.235385,204,5
14,0,2.5,17.551355,41.589564,24.267425,146,5
14,0,2.5,4.775029,32.624285,26.354347,37535,5
14,0,2.5,14.970365,38.715673,24.801906,99,5
14,0,2.5,16.838006,37.033204,25.152327,69,5
14,0,2.5,16.024389,34.480201,27.376774,74,5
14,0,2.5,12.052138,31.608932,25.728587,187,5
14,0,2.5,-5.544997,41.912857,27.644472,142,5
14,0,2.5,9.827102,32.185401,25.43295,971,5
14,0,2.5,8.375853,47.474639,27.949077,162,5
14,0,2.5,11.741798,30.248035,24.516844,379,5
14,0,2.5,4.079085,40.175685,24.762212,47392,5
14,0,2.5,16.414035,31.158916,25.20462,127,5
14,0,2.5,10.228742,45.964747,25.302921,275,5
14,0,2.5,2.700176,42.000936,26.545489,23449,5
14,0,2.5,9.764443,35.812425,25.194845,552,5
14,0,2.5,5.973529,40.7312,25.455806,155,5
14,0,2.5,11.517466,26.193394,24.013167,47898,5
14,0,2.5,7.450652,41.654413,24.384024,4425,5
14,0,2.5,13.600693,43.352657,23.742077,94,5
14,0,2.5,-8.807567,44.151002,23.131648,21042,5
14,0,2.5,0.094213,38.730649,26.186999,24842,5
14,0,2.5,8.271167,31.590746,26.713103,30168,5
14,0,2.5,11.728512,32.009825,24.261487,112,5
14,0,2.5,9.182844,41.1919,28.797283,158,5
14,0,2.5,8.382839,28.38877,26.418848,12883,5
14,0,2.5,9.595345,34.689037,25.775273,172,5
14,0,2.5,7.867436,34.752988,24.852157,49005,5
14,0,2.5,14.967999,39.455442,26.132656,71,5
14,0,2.5,-3.120117,37.788648,27.302115,48302,5
14,0,2.5,20.056774,41.348737,28.324768,164,5
14,0,2.5,25.169766,30.646625,27.405155,96,5
14,0,2.5,4.066741,35.683164,27.260714,1466,5
14,0,2.5,22.904311,44.556768,30.193878,112,5
14,0,2.5,11.554564,29.834514,24.479571,716,5
14,0,2.5,6.553234,39.432001,25.639521,227,5
14,0,2.5,0.476368,49.429081,28.335014,287,5
14,0,2.5,12.095719,42.021359,28.114897,104,5
14,0,2.5,3.02115,41.30906,28.068767,179,5
14,0,2.5,9.460442,40.662962,25.649908,126,5
14,0,2.5,19.11826,39.814988,23.35818,179,5
14,0,2.5,14.627999,40.571753,27.6681,124,5
14,0,2.5,10.313864,27.726805,23.281652,46543,5
14,0,2.5,11.126698,34.403581,26.6243,90,5
14,0,2.5,13.454745,31.246996,26.788346,104,5
14,0,2.5,21.035463,43.599135,30.150634,86,5
14,0,2.5,19.265648,35.730003,28.514478,104,5
14,0,2.5,9.06211,40.035676,26.929107,109,5
14,0,2.5,18.92986,41.329617,22.449668,83,5
14,0,2.5,9.873324,36.751782,24.980045,115,5
14,0,2.5,10.796129,27.601388,24.444709,78527,5
14,0,2.5,26.1268,36.341478,28.933353,84,5
14,0,2.5,3.501914,31.091263,27.530388,27292,5
14,0,2.5,12.483642,33.574142,27.933885,73,5
14,0,2.5,10.865912,40.664171,28.331029,259,5
14,0,2.5,-10.406302,38.908918,24.618226,171,5
14,0,2.5,-2.630944,39.126634,26.882694,5668,5
14,0,2.5,19.28192,41.833111,25.839109,66,5
14,0,2.5,11.713067,39.524435,24.951589,166,5
14,0,2.5,2.678043,33.810993,24.981893,84787,5
14,0,2.5,12.737282,42.361541,26.835128,278,6
14,0,2.5,21.017361,35.244719,26.017097,97,6
14,0,2.5,12.346799,33.942511,22.468719,5135,6
14,0,2.5,10.286831,32.864531,27.577602,1341,6
14,0,2.5,17.016693,30.741992,27.920201,123,6
14,0,2.5,9.678097,33.079237,24.986673,13502,6
14,0,2.5,7.32734,41.410621,24.938403,1508,6
14,0,2.5,17.774344,38.758649,25.149244,58,6
14,0,2.5,12.711688,27.661162,23.814383,131,6
14,0,2.5,13.018941,44.449228,26.956387,109,6
