Tmean,Tsd,Tsd_short,Tmin,Tmax,Topt,Lifespan,Rep
18,0,2.5,-11.306615,41.397344,23.699745,429,0
18,0,2.5,0.559126,39.380581,23.461883,619,0
18,0,2.5,14.036976,34.121331,23.814421,135,0
18,0,2.5,10.249921,35.510504,25.994581,264,0
18,0,2.5,12.493355,39.302035,27.271132,122,0
18,0,2.5,1.558654,29.674658,25.119388,2433,0
18,0,2.5,4.849265,41.748649,25.555547,188,0
18,0,2.5,3.054216,39.249511,28.205632,97,0
18,0,2.5,0.044536,33.854788,22.704969,243,0
18,0,2.5,18.839631,43.19913,25.177223,144,0
18,0,2.5,8.663675,36.211477,23.453882,153,0
18,0,2.5,13.669031,36.267448,27.230952,59,0
18,0,2.5,8.436405,32.795083,25.753638,138,0
18,0,2.5,-1.02002,34.670104,27.555052,211,0
18,0,2.5,7.819801,41.272124,24.428107,128,0
18,0,2.5,6.164177,37.669862,24.946596,277,0
18,0,2.5,-4.074759,25.243446,24.058282,554,0
18,0,2.5,18.437391,32.769893,25.346525,87,0
18,0,2.5,-3.146192,28.353672,23.134206,20004,0
18,0,2.5,16.007503,43.588342,26.702808,73,0
18,0,2.5,6.599984,45.12572,27.542449,136,0
18,0,2.5,0.731056,37.453347,24.428173,196,0
18,0,2.5,12.716935,38.300807,25.625951,120,0
18,0,2.5,4.221779,31.978025,21.209072,6397,0
18,0,2.5,11.489909,40.115644,29.388343,87,0
18,0,2.5,13.598685,25.397949,23.372677,25934,0
18,0,2.5,7.489765,30.167759,25.559906,664,0
18,0,2.5,1.598747,28.951668,23.012993,308,0
18,0,2.5,-13.954214,34.109644,21.984648,186,0
18,0,2.5,9.320078,38.854028,27.579988,102,0
18,0,2.5,17.62347,37.664076,25.370046,172,0
18,0,2.5,0.685687,41.952968,27.973423,122,0
18,0,2.5,8.860996,30.308369,25.237184,207,0
18,0,2.5,20.555228,35.505151,26.17151,198,0
18,0,2.5,5.060007,33.915496,24.028802,164,0
18,0,2.5,0.273153,28.019047,23.731965,712,0
18,0,2.5,12.301029,36.794664,26.441757,86,0
18,0,2.5,18.180402,38.275127,24.687464,101,0
18,0,2.5,-5.424216,38.895459,24.554138,449,0
18,0,2.5,11.880404,31.683125,23.489093,156,0
