Tmean,Tsd_short,CTmax_CTmin_hv
14,0,9.9412937258109
14.8,0,9.49615454934598
15.6,0,9.11515821262132
16.4,0,13.0524919406477
17.2,0,12.6317388343721
18,0,12.3658911006911
18.8,0,12.692656049047
19.6,0,12.8552942130786
20.4,0,12.7741305926112
21.2,0,13.29094623047
22,0,13.3859340207538
14,0.5,9.8634609824774
14.8,0.5,9.09875283199684
15.6,0.5,9.95436439116088
16.4,0.5,11.1790659567437
17.2,0.5,12.9389454259498
18,0.5,13.2463679173267
18.8,0.5,12.9504242579916
19.6,0.5,12.3472952679271
20.4,0.5,12.855260354796
21.2,0.5,12.5792910201766
22,0.5,13.4434120088057
14,1,9.93014888487848
14.8,1,9.46921619096743
15.6,1,9.98572212973277
16.4,1,11.2474076565701
17.2,1,11.7868508308027
18,1,12.4309537788303
18.8,1,12.6908529130645
19.6,1,13.614430253838
20.4,1,12.5510331711442
21.2,1,13.6276434443029
22,1,14.7905530246339
14,1.5,9.73668896060315
14.8,1.5,9.91082186384841
15.6,1.5,10.4169069637317
16.4,1.5,11.1146005068361
17.2,1.5,12.3170959184131
18,1.5,12.5257309270754
18.8,1.5,13.0079857190279
19.6,1.5,13.3948128147883
20.4,1.5,13.1214064296385
21.2,1.5,14.2566559813266
22,1.5,15.3269472211821
14,2,9.95875500733722
14.8,2,10.4534791714545
15.6,2,10.3572245203397
16.4,2,11.5751898597699
17.2,2,11.7199446032679
18,2,12.5868132448143
18.8,2,12.5197324058471
19.6,2,13.3314977785299
20.4,2,14.3137222121824
21.2,2,15.3632873621431
22,2,15.5237476698355
14,2.5,9.98768646397612
14.8,2.5,10.1178894088295
15.6,2.5,10.9890196277549
16.4,2.5,10.9296293531196
17.2,2.5,12.0092014193332
18,2.5,12.5625279339124
18.8,2.5,12.8801596031946
19.6,2.5,13.559453601032
20.4,2.5,14.6622563085663
21.2,2.5,14.9252263745037
22,2.5,16.0971930973447
14,3,10.0751063361225
14.8,3,10.4652173493404
15.6,3,10.8419775150286
16.4,3,11.5921768480512
17.2,3,12.11936454
18,3,12.4494663362811
18.8,3,13.4745884048414
19.6,3,14.2210464095753
20.4,3,14.8440504657035
21.2,3,15.5734096868381
22,3,16.696834397851
14,3.5,10.1381247567348
14.8,3.5,10.896137872476
15.6,3.5,11.0262288456243
16.4,3.5,11.4696593087764
17.2,3.5,12.5104205689304
18,3.5,12.9525388837642
18.8,3.5,14.0449882775092
19.6,3.5,14.6322991190618
20.4,3.5,15.8653481600694
21.2,3.5,15.6406937401422
22,3.5,17.0258219258434
14,4,11.2047510111944
14.8,4,11.020216656591
15.6,4,12.5582529658793
16.4,4,12.263616424384
17.2,4,13.267734003639
18,4,14.0618475353781
18.8,4,14.8626862329475
19.6,4,15.6130804196358
20.4,4,16.0943799132749
21.2,4,17.1659762433908
22,4,16.6448137634825
14,4.5,11.2725700706767
14.8,4.5,11.9120080474593
15.6,4.5,12.8196630438221
16.4,4.5,12.8090640987142
17.2,4.5,13.5117980890462
18,4.5,14.4555007048011
18.8,4.5,15.4487082467869
19.6,4.5,16.2327687630036
20.4,4.5,15.5433686200174
21.2,4.5,17.5731292284712
22,4.5,17.7074972514946
14,5,11.7523395925292
14.8,5,11.9004557742309
15.6,5,13.2647530990326
16.4,5,13.1083184723967
17.2,5,13.9406854193381
18,5,15.3043785588064
18.8,5,15.7648367061499
19.6,5,16.1241096919864
20.4,5,17.003264904529
21.2,5,17.6363680464287
22,5,18.330638259556
