Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,2.5,10.235661,30.105992,19.530071,10.850671,2.684973,1.208793,30397,1.949588,9788,376,0,20.5,15.5,19.870331,-0.60059750417995,1.02135733726823
18,0,2.5,-5.536494,33.089751,25.411927,7.877285,8.940393,0.536776,22104,0.847079,142,6.02,1,20.5,15.5,38.626245,0.0882633148416805,-1.40638601332536
18,0,2.5,2.505228,35.284546,24.363324,11.204942,6.314376,0.668167,49246,0.847079,197,8.42,1,20.5,15.5,32.779318,0.594975915049867,-0.168556616339203
18,0,2.5,-5.661567,34.115994,21.505563,12.938034,7.848052,0.406448,43925,0.847079,95,3.49,1,20.5,15.5,39.777561,0.325192166500013,-1.42563798898048
18,0,2.5,7.422653,35.131643,25.385916,9.998909,5.189235,0.8485,53376,0.847079,162,7.84,1,20.5,15.5,27.70899,0.55967518003378,0.588362513975755
18,0,2.5,-16.561217,36.315462,24.063296,12.570463,11.735626,0.446937,54427,0.847079,82,4,1,20.5,15.5,52.876679,0.832983622811285,-3.10337656124898
18,0,2.5,-3.820289,29.479412,23.970744,5.651777,8.028285,0.621967,37353,0.847079,227,9.32,1,20.5,15.5,33.299701,-0.745256108304,-1.14221759264946
18,0,2.5,4.964068,29.441109,24.991879,4.564815,5.785642,1.016637,12433,0.847079,331,15.11,1,20.5,15.5,24.477041,-0.754099126775326,0.209922574372121
18,0,2.5,14.393845,27.361354,22.778394,4.70202,2.422132,1.347085,12947,0.847079,187,9.81,1,20.5,15.5,12.967509,-1.23425242758291,1.66140960384466
18,0,2.5,8.478919,25.982828,24.802311,1.211186,4.715508,0.962359,1833,0.847079,230,11.35,1,20.5,15.5,17.503909,-1.55251290016217,0.750949221876995
18,0,2.5,10.081042,35.500754,23.811895,11.992522,3.966574,0.936093,7429,0.847079,219,9.21,1,20.5,15.5,25.419712,0.644891883450475,0.997557466602149
18,0,2.5,-4.24689,31.774166,23.855223,8.124667,8.11815,0.434857,22126,0.847079,7,0.4,1,20.5,15.5,36.021056,-0.215465961079254,-1.20788254085131
18,0,2.5,1.72592,34.708282,26.434621,8.488601,7.13786,0.785328,19758,0.847079,204,9.09,1,20.5,15.5,32.982362,0.461933772231804,-0.288512311364035
18,0,2.5,14.894421,26.864077,23.626385,3.321803,2.522494,2.103305,21771,0.847079,265,13.13,1,20.5,15.5,11.969656,-1.34905883168613,1.73846122142429
18,0,2.5,8.797499,30.737414,26.111321,4.746273,5.001624,1.149104,28030,0.847079,270,12.58,1,20.5,15.5,21.939915,-0.454821026901364,0.799986939083814
18,0,2.5,-0.683483,32.028637,25.541587,6.655576,7.575909,0.969727,11836,0.847079,400,17.09,1,20.5,15.5,32.71212,-0.156716209012396,-0.659381866738698
18,0,2.5,2.268428,25.406207,22.461584,3.021121,5.833407,0.973741,51531,0.847079,453,18.46,1,20.5,15.5,23.137779,-1.68563746361554,-0.205006272421112
18,0,2.5,-3.382332,29.962428,27.871833,2.144906,9.028716,0.653498,15798,0.847079,143,6.61,1,20.5,15.5,33.34476,-0.633742143080753,-1.07480466178517
18,0,2.5,-7.565383,35.207381,25.15527,10.313253,9.452356,0.684079,24144,0.847079,233,10.74,1,20.5,15.5,42.772764,0.577160821706268,-1.71868460402793
18,0,2.5,10.388699,34.617385,25.246416,9.614416,4.292103,0.872049,4446,0.847079,57,4.22,1,20.5,15.5,24.228686,0.440948370305372,1.04491385106664
18,0,2.5,0.709192,38.393482,22.287321,16.52458,6.233499,0.470952,21760,0.847079,106,4.36,1,20.5,15.5,37.68429,1.31273636394867,-0.445013096536532
18,0,2.5,-2.621102,43.966049,22.825895,21.689349,7.351139,0.45719,45490,0.847079,64,2.91,1,20.5,15.5,46.587151,2.59927561449568,-0.957631639406656
18,0,2.5,7.810218,37.216334,24.238751,13.314724,4.745882,0.884385,39171,0.847079,249,10.47,1,20.5,15.5,29.406116,1.04096805578783,0.648018810256941
18,0,2.5,6.815265,28.581668,20.963887,7.815681,4.08726,0.96861,60336,0.847079,404,17.64,1,20.5,15.5,21.766403,-0.952518379523544,0.494869761829308
18,0,2.5,9.392004,34.356994,24.623107,9.986762,4.399967,1.061248,26726,0.847079,241,11.23,1,20.5,15.5,24.96499,0.380831867087163,0.891496663699419
