Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,0,3.76355,26.285144,20.658018,5.773312,4.880481,1.287044,61309,1.255459,10059,400,0,18,18,22.521594,-1.48271716687294,0.025131745739767
18,0,0,-0.468361,32.700684,25.167407,7.728983,7.405671,0.743251,27788,1.255459,778,29.48,1,18,18,33.169045,-0.00156063282778164,-0.626269016588138
18,0,0,13.881107,38.818101,26.229233,12.915912,3.567132,0.714181,15444,1.255459,89,3.29,1,18,18,24.936994,1.4107682063703,1.5824859393171
18,0,0,-1.810973,41.231936,26.719578,14.889372,8.241917,0.491865,3216,1.255459,426,17.11,1,18,18,43.042909,1.96805059917853,-0.832931793832413
18,0,0,5.080832,32.263733,25.334893,7.108844,5.851001,0.781637,11585,1.255459,694,27.32,1,18,18,27.182901,-0.102439565654569,0.227895579620212
18,0,0,5.468599,35.509809,23.544877,12.275767,5.221883,0.77451,27466,1.255459,754,28.85,1,18,18,30.04121,0.646982412449713,0.287582968935726
18,0,0,1.2603,26.267924,22.692292,3.668523,6.191283,1.105312,85152,1.255459,1244,50.54,1,18,18,25.007624,-1.48669275045846,-0.360183294746039
18,0,0,-1.514237,42.317269,25.057768,17.707882,7.676132,0.405701,26122,1.255459,350,13.9,1,18,18,43.831506,2.21862156663643,-0.78725643425842
18,0,0,12.244323,29.900207,25.953027,4.049723,3.960176,1.824559,8013,1.255459,857,33.88,1,18,18,17.655884,-0.648107113247695,1.3305424685385
18,0,0,8.891494,30.201802,25.450926,4.874298,4.783696,1.21712,8913,1.255459,830,33.93,1,18,18,21.310308,-0.578477837319971,0.814455205230009
18,0,0,14.465011,35.194006,27.606398,7.784725,3.796289,1.159192,1184,1.255459,174,6.61,1,18,18,20.728995,0.574072933758745,1.67236389533421
18,0,0,7.361178,44.941662,26.663303,18.753209,5.576006,0.67725,9615,1.255459,438,17.71,1,18,18,37.580484,2.82451551162817,0.578899918504321
18,0,0,2.473093,40.800077,26.942445,14.217637,7.068716,0.798716,99999,1.255459,99,5.13,2,18,18,38.326984,1.86834725703801,-0.173503025537649
18,0,0,5.973285,34.071035,23.442941,10.904199,5.046642,0.590352,22679,1.255459,70,2.35,2,18,18,28.09775,0.314812476463924,0.365267222015769
18,0,0,9.425844,37.178571,24.198393,13.317387,4.2675,0.764348,99999,1.255459,76,3.35,2,18,18,27.752727,1.03224970718504,0.896705516578692
18,0,0,4.748148,30.529277,21.97655,8.774917,4.976948,0.859902,2672,1.255459,278,11.68,2,18,18,25.781129,-0.502873642507619,0.17668689134338
18,0,0,7.265608,27.308158,25.260316,2.101042,5.198319,1.085479,76344,1.255459,271,9.58,2,18,18,20.04255,-1.24653379485442,0.564189219045926
18,0,0,8.003559,34.187312,25.694039,8.713918,5.110433,0.898628,39908,1.255459,120,4.88,2,18,18,26.183753,0.341657362211525,0.677779000107163
18,0,0,8.70559,34.558392,22.973017,11.886348,4.12158,0.911083,86701,1.255459,235,9.37,2,18,18,25.852802,0.42732864890812,0.78583976239111
18,0,0,9.895741,26.085463,23.382768,2.772908,3.896138,1.492307,18407,1.255459,423,16.68,2,18,18,16.189722,-1.52881754468597,0.969034841088492
18,0,0,13.996687,28.151146,21.565975,6.756246,2.186619,1.417652,25519,1.255459,286,11.37,2,18,18,14.154459,-1.05191304830438,1.60027669628478
18,0,0,-2.80868,38.51411,24.218909,14.666572,7.807741,0.532304,2456,1.255459,57,2.1,2,18,18,41.32279,1.34058576561849,-0.986504754223094
18,0,0,-7.781455,36.405811,21.605756,15.184542,8.48939,0.711927,75557,1.255459,254,9.53,2,18,18,44.187266,0.853842507908167,-1.75194368379537
18,0,0,-9.481294,26.940093,19.735555,7.391703,8.440175,0.701542,21929,1.255459,270,12.09,2,18,18,36.421387,-1.33150900811836,-2.01359295298716
18,0,0,2.513284,37.402938,23.850064,13.904962,6.163778,0.63528,66910,1.255459,87,3.26,2,18,18,34.889654,1.08404934495117,-0.167316589188038
18,0,0,0.66904,23.662973,21.090919,2.638872,5.899481,1.339776,48748,1.255459,461,18.94,2,18,18,22.993933,-2.08809811844267,-0.451193529775556
18,0,0,11.848707,24.669958,23.979124,0.70878,3.50424,1.690803,86479,1.255459,325,14.55,2,18,18,12.821251,-1.85561536368852,1.26964691473571
18,0,0,5.860014,37.37085,26.86778,10.775927,6.068732,0.7647,41310,1.255459,85,3.81,2,18,18,31.510836,1.07664118431863,0.347831879980069
18,0,0,5.18172,39.18005,25.134659,14.410274,5.764013,0.683218,52839,1.255459,43,1.75,2,18,18,33.99833,1.49433141793802,0.243424857081325
18,0,0,6.815476,31.7077,23.803274,8.109773,4.907442,0.814453,81255,1.255459,151,5.7,2,18,18,24.892224,-0.230810974934962,0.494902240196847
18,0,0,6.011478,30.545415,24.822476,5.871614,5.434129,0.946682,33841,1.255459,243,9.22,2,18,18,24.533937,-0.499147860399423,0.37114611439219
18,0,0,6.854888,29.61955,21.40429,8.428682,4.203037,0.780236,13990,1.255459,247,10.59,2,18,18,22.764662,-0.712902430458017,0.500968768260615
18,0,0,-1.717835,33.401224,22.784503,10.89253,7.078246,0.751617,25806,1.255459,241,9.1,2,18,18,35.119059,0.160173125883096,-0.818595442193237
18,0,0,11.600155,26.219295,23.191518,3.106435,3.348518,1.237355,68168,1.255459,262,10.41,2,18,18,14.61914,-1.49791973386033,1.23138832133001
18,0,0,8.687184,34.812742,23.30971,11.801867,4.224161,1.0102,97464,1.255459,276,11.42,2,18,18,26.125558,0.48605046568962,0.783006602045487
18,0,0,0.059498,30.853227,22.778716,8.284277,6.563137,0.670746,55442,1.255459,198,7.07,2,18,18,30.793729,-0.428083264892652,-0.545017838337545
18,0,0,-8.734017,29.430923,23.085844,6.509916,9.192135,0.58543,51090,1.255459,153,5.46,2,18,18,38.16494,-0.75645076988811,-1.89856765886588
18,0,0,-3.98774,30.746672,24.908339,5.990006,8.347511,0.651734,93982,1.255459,129,5.32,2,18,18,34.734412,-0.452683631266361,-1.16799264062485
18,0,0,9.933318,38.767376,24.368307,14.77314,4.169986,0.934813,43929,1.255459,113,4.74,2,18,18,28.834058,1.39905731918241,0.974818915102808
18,0,0,-0.673038,31.73332,25.442589,6.454157,7.544293,0.897875,22771,1.255459,306,11.78,2,18,18,32.406358,-0.224896082283332,-0.657774110582551
18,0,0,-0.269729,37.376911,25.590123,12.092994,7.470405,0.681844,61471,1.255459,133,4.8,2,18,18,37.64664,1.07804048815788,-0.595694404734837
