Tmean,Tsd_short,Tsd,CTmax_CTmin_hv
18,0,0,17.803666659685
18,0.5,0,18.3277398898609
18,1,0,18.4215304866022
18,1.5,0,17.3247590660378
18,2,0,18.2259623974989
18,2.5,0,17.4776396265512
18,3,0,17.8788993016104
18,3.5,0,18.4566304925453
18,4,0,18.816898216543
18,4.5,0,18.7374471825673
18,5,0,18.4466323776645
