Family,Species,Sample.Size,Elev_up,Elev_low,Elev_mid,RS,W_length,B_length,Weight,CTmax,CTmin,TTrange,STmax,STmin,STR,STmean,Location,DTmax,DTmin,DTmean,DTR,Group
Endromidae,CA_END01,3,1493,903,1198,590,25.62666667,20.41666667,0.1225,42.4,6.2,36.2,24.08,14.84,9.24,19.95,Malaysia,23.01377761,17.56559192,19.83409486,5.448185694,M2
Erebidae,CA_ERE33,3,1800,1372,1586,428,17.24333333,16.36333333,0.028453333,42.3,14.2,28.1,21.71,12.74,8.97,17.78,Malaysia,20.25554374,14.70894864,17.25835476,5.5465951,M2
Geometridae,CA_GEO-Zythos-1,5,1374,509,941.5,865,20.806,14.972,0.02297,42.2,5.3,36.9,23.36,14.21,9.15,19.3,Malaysia,24.15568668,19.35868601,21.35935174,4.797000661,M1
Geometridae,CA_GEO134-2,12,1374,509,941.5,865,20.80272727,15.87333333,0.064609167,43,3.266666667,39.73333333,23.36,14.21,9.15,19.3,Malaysia,24.15568668,19.35868601,21.35935174,4.797000661,M1
Geometridae,CA_GEO20,23,1374,509,941.5,865,18.245,14.51869565,0.014204348,43.2,2.7625,40.4375,23.36,14.21,9.15,19.3,Malaysia,24.15568668,19.35868601,21.35935174,4.797000661,M1
Erebidae,CA_LIT41,12,1374,509,941.5,865,16.97916667,16.2675,0.033555,41.5,4.9,36.6,23.36,14.21,9.15,19.3,Malaysia,24.15568668,19.35868601,21.35935174,4.797000661,M1
Geometridae,CA_GEO04,18,1959,140,1049.5,1819,14.58333333,11.61,0.012107222,40.87142857,1.14,39.73142857,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Geometridae,CA_GEO14,19,1959,140,1049.5,1819,25.86894737,18.59736842,0.035997368,37.25714286,3.771428571,33.48571429,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Geometridae,CA_GEO19,7,1959,140,1049.5,1819,17.48857143,11.99857143,0.017421429,38.1,2,36.1,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Geometridae,CA_GEO80,44,1959,140,1049.5,1819,18.3597561,14.07136364,0.033131818,39.15333333,2.088235294,37.06509804,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Erebidae,CA_LIT01,31,1959,140,1049.5,1819,18.58774194,13.20129032,0.074096129,29.54,3.4,26.14,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Erebidae,CA_LIT03,39,1959,140,1049.5,1819,17.39948718,12.68461538,0.021517179,39.65555556,1.511111111,38.14444444,24.71,15.5,9.21,20.6,Malaysia,23.68791697,18.78708423,20.8262564,4.900832747,M1
Geometridae,CA_GEO101,5,1066,796,931,270,13.084,11.714,0.006652,41.9,1.8,40.1,23.23,14.08,9.15,19.17,Malaysia,24.19867208,19.37919394,21.39031636,4.819478131,M1
Geometridae,CA_GEO108,13,1374,800,1087,574,12.53230769,9.293846154,0.00763,34.78,0.75,34.03,24.79,15.56,9.23,20.66,Malaysia,23.51767976,18.47862657,20.57571056,5.039053188,M2
Geometridae,CA_GEO124,13,1494,903,1198.5,591,14.92,11.78076923,0.011271538,42.1,1.6,40.5,24.08,14.84,9.24,19.95,Malaysia,23.01150778,17.56147915,19.83075425,5.450028633,M2
Erebidae,CA_LIT12,17,1494,903,1198.5,591,10.84529412,8.540588235,0.004092941,40.725,0.8,39.925,24.08,14.84,9.24,19.95,Malaysia,23.01150778,17.56147915,19.83075425,5.450028633,M2
Geometridae,CA_GEO128,22,1494,796,1145,698,17.675,13.76545455,0.015059091,41.1,2.028571429,39.07142857,24.42,15.19,9.23,20.29,Malaysia,23.25437954,18.0015454,20.18819965,5.252834137,M2
Geometridae,CA_GEO132,3,1959,1493,1726,466,10.2,7.99,0.003233333,41.95,1,40.95,20.49,11.48,9.02,16.53,Malaysia,19.26731144,14.49696679,16.55679711,4.770344646,M2
Nolidae,CA_NOL01,5,1959,1493,1726,466,17.18,12.726,0.02296,38.6,1.35,37.25,20.49,11.48,9.02,16.53,Malaysia,19.26731144,14.49696679,16.55679711,4.770344646,M2
Geometridae,CA_GEO135,8,1800,509,1154.5,1291,21.33,16.40875,0.0191425,42.95,3.125,39.825,24.36,15.12,9.23,20.23,Malaysia,23.21125278,17.9234028,20.12472804,5.287849982,M2
Geometridae,CA_GEO149,3,1959,1374,1666.5,585,9.756666667,7.663333333,0.002873333,40.9,2.8,38.1,21.01,12.02,9,17.06,Malaysia,19.68731017,14.58705907,16.85495911,5.100251089,M2
Geometridae,CA_GEO36,5,1959,903,1431,1056,26.118,17.148,0.03546,41.8,12.175,29.625,22.76,13.65,9.11,18.73,Malaysia,21.41275559,15.45379091,18.18153575,5.958964672,M2
Geometridae,CA_GEO82,5,1959,903,1431,1056,18.1125,13.932,0.01504,38.83333333,0.7,38.13333333,22.76,13.65,9.11,18.73,Malaysia,21.41275559,15.45379091,18.18153575,5.958964672,M2
