Tmean,Tsd_short,Tsd,CTmax_CTmin_hv
14,2.5,0,7.0334052093833
14.8,2.5,0,7.02503599972783
15.6,2.5,0,7.26890146985876
16.4,2.5,0,7.7715839301783
17.2,2.5,0,8.70341452956262
18,2.5,0,8.65216682469637
18.8,2.5,0,9.2996821672056
19.6,2.5,0,9.45459189638543
20.4,2.5,0,9.89286040507008
21.2,2.5,0,10.3673252961216
22,2.5,0,10.9739642594884
22.8,2.5,0,11.4682925704853
23.6,2.5,0,11.5491403553658
24.4,2.5,0,12.3695568801384
25.2,2.5,0,12.8729467132606
26,2.5,0,12.9166650675301
26.8,2.5,0,12.2323652979118
27.6,2.5,0,13.4696024382038
28.4,2.5,0,13.4822874378002
29.2,2.5,0,13.4547907347792
30,2.5,0,13.4820078284607
30.8,2.5,0,12.8109306213086
31.6,2.5,0,13.3121313979818
32.4,2.5,0,12.9484606258295
33.2,2.5,0,13.105468315149
34,2.5,0,13.1334681034955
34.8,2.5,0,12.4300881713936
35.6,2.5,0,11.5704691080786
36.4,2.5,0,13.3384206793778
37.2,2.5,0,12.8551446721909
38,2.5,0,13.6323771223888
38.8,2.5,0,10.4379158881628
39.6,2.5,0,12.4694584385002
40.4,2.5,0,51.4511134537388
41.2,2.5,0,48.241559629088
42,2.5,0,14.5915734754656
