Tmean,Tsd_short,Tsd,CTmax_CTmin_hv
18,2.5,0,14.4428720317697
18,2.5,0.5,14.9337924701259
18,2.5,1,14.4208124533751
18,2.5,1.5,13.5081237654313
18,2.5,2,13.1896284690612
18,2.5,2.5,13.5479761067537
18,2.5,3,13.431459483707
18,2.5,3.5,13.5563871871587
18,2.5,4,13.5219839769157
18,2.5,4.5,12.5452629149502
18,2.5,5,13.4192409337093
