Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,2.5,3.366701,20.003327,14.007945,6.151134,3.074047,1.277112,22008,1.126844,138,5.77,2,20.5,15.5,16.636626,-1.67216403524433,0.0598570076517586
18,0,2.5,-7.633047,23.606197,16.944612,6.834645,7.100004,0.711493,6952,1.126844,155,5.89,2,20.5,15.5,31.239244,-0.677973678371616,-1.56990198305608
18,0,2.5,-5.534035,29.219409,22.851043,6.533808,8.199893,0.645618,20564,1.126844,163,6.31,2,20.5,15.5,34.753444,0.87095849000587,-1.25890543308024
18,0,2.5,7.821823,25.859151,20.663913,5.330204,3.709828,1.204032,87656,1.126844,395,15.37,2,20.5,15.5,18.037328,-0.0562845413009463,0.719942596358001
18,0,2.5,13.453643,25.649413,19.649584,6.155697,1.789886,1.676075,12806,1.126844,366,13.97,2,20.5,15.5,12.19577,-0.114160483832808,1.55437164682791
18,0,2.5,-10.437464,25.110648,20.684756,4.540872,8.9906,0.643137,7340,1.126844,177,6.61,2,20.5,15.5,35.548112,-0.262829452632828,-1.98541366745503
18,0,2.5,8.22467,22.853672,18.34091,4.629998,2.922384,1.475312,79021,1.126844,331,13.56,2,20.5,15.5,14.629002,-0.88562843646881,0.779629738293405
18,0,2.5,8.40183,19.63381,16.510004,3.204959,2.342293,1.939429,4125,1.126844,139,6.81,2,20.5,15.5,11.23198,-1.77413003404543,0.805878348970105
18,0,2.5,-3.219186,23.654972,21.672704,2.033765,7.190779,0.864865,20731,1.126844,283,11.57,2,20.5,15.5,26.874158,-0.664514509804206,-0.915929760375646
18,0,2.5,6.726367,26.922532,21.074378,6.000081,4.14486,1.074822,21842,1.126844,366,14.2,2,20.5,15.5,20.196165,0.237149064652548,0.557636217618701
18,0,2.5,1.083464,24.327126,15.800564,8.748072,4.251482,0.912325,35571,1.126844,290,11.03,2,20.5,15.5,23.243662,-0.479037646877311,-0.278434926733175
18,0,2.5,12.917329,20.412738,19.513574,0.922523,1.905526,3.05465,99999,1.173561,193,7.75,3,20.5,15.5,7.495409,-1.55918952653388,1.47490959339337
18,0,2.5,7.697912,23.419744,20.591696,2.901517,3.724762,1.428673,99999,1.173561,334,12.63,3,20.5,15.5,15.721832,-0.729424264879036,0.701583533377867
18,0,2.5,-2.888537,25.917405,20.087179,5.981689,6.637234,0.774226,10880,1.173561,158,7.08,3,20.5,15.5,28.805942,-0.0402096995638688,-0.8669397125565
18,0,2.5,-11.185948,24.362328,16.815441,7.742946,8.089053,0.625434,457,1.173561,90,3.64,3,20.5,15.5,35.548276,-0.469323866212832,-2.09631152878794
18,0,2.5,9.406104,23.70516,18.271944,5.574365,2.561167,1.477217,52324,1.173561,248,11.28,3,20.5,15.5,14.299056,-0.650665432365739,0.954674901457864
18,0,2.5,12.01851,25.130255,17.8414,7.478211,1.682119,1.530774,22010,1.173561,285,11.41,3,20.5,15.5,13.111745,-0.257419018637928,1.3417376019742
18,0,2.5,-2.242673,30.579648,21.214055,9.6089,6.776189,0.662214,83100,1.173561,103,3.52,3,20.5,15.5,32.822321,1.24630827971302,-0.771246369329498
18,0,2.5,11.283012,25.275848,23.357699,1.96798,3.488141,1.627262,56437,1.173561,206,9.36,3,20.5,15.5,13.992836,-0.217243503943207,1.23276378928797
18,0,2.5,13.169294,23.031183,19.228871,3.901092,1.750493,2.138305,63325,1.173561,237,10.01,3,20.5,15.5,9.861889,-0.836645341203416,1.51224155991603
18,0,2.5,2.941586,24.405637,19.53618,4.995959,4.793853,1.031121,20738,1.173561,239,10.53,3,20.5,15.5,21.464051,-0.457373007545769,-0.00312943470444488
18,0,2.5,-4.967847,24.680239,20.093358,4.706043,7.239691,0.763687,33310,1.173561,156,7.14,3,20.5,15.5,29.648086,-0.381598233441246,-1.17501714914584
18,0,2.5,0.619091,26.188219,17.814501,8.591258,4.967417,0.839223,59990,1.173561,225,8.74,3,20.5,15.5,25.569128,0.034519798671185,-0.347237964020209
18,0,2.5,-5.660856,22.468769,16.44677,6.178443,6.38646,0.789939,8255,1.173561,132,4.83,3,20.5,15.5,28.129625,-0.991840109643634,-1.27769565127075
18,0,2.5,8.675246,29.013921,26.263483,2.821891,5.080897,1.120207,88549,1.173561,95,3.35,3,20.5,15.5,20.338675,0.814255309471169,0.846388566495395
18,0,2.5,7.323817,29.158879,22.009127,7.335495,4.242298,0.982755,50182,1.173561,234,8.91,3,20.5,15.5,21.835062,0.854255599726314,0.646156382716884
18,0,2.5,-2.824844,24.029274,23.51212,0.53059,7.608233,0.881251,55373,1.173561,195,8.21,3,20.5,15.5,26.854118,-0.561228118966299,-0.857502747328282
18,0,2.5,9.098419,27.034497,26.712139,0.330732,5.088259,1.319986,55559,1.173561,102,5.11,3,20.5,15.5,17.936078,0.268045134537737,0.90908727571808
18,0,2.5,5.132958,21.238476,15.346448,6.045096,2.950477,1.31707,2220,1.173561,265,10.11,3,20.5,15.5,16.105518,-1.3313320804136,0.321551477893319
18,0,2.5,-10.658902,27.161936,21.959283,5.337812,9.422755,0.601957,17892,1.173561,63,3.21,3,20.5,15.5,37.820838,0.303211161868587,-2.01822265284127
18,0,2.5,4.329691,28.720904,25.779032,3.018298,6.196295,0.938495,4697,1.173561,157,5.52,3,20.5,15.5,24.391213,0.73339902661895,0.202536786357757
18,0,2.5,5.095824,21.021829,17.727785,3.379619,3.649126,1.39842,7832,1.173561,285,11.01,3,20.5,15.5,15.926005,-1.39111452003685,0.316049581817068
18,0,2.5,1.976987,29.639691,26.62218,3.095903,7.119514,0.830597,98154,1.173561,55,2.86,3,20.5,15.5,27.662704,0.986932785933055,-0.146047608164218
18,0,2.5,4.296426,28.514922,27.740946,0.794083,6.772662,0.973031,44586,1.173561,80,3.76,3,20.5,15.5,24.218496,0.676559529748579,0.197608134099005
18,0,2.5,5.003255,28.191992,22.253326,6.092945,4.983208,0.945801,31130,1.173561,213,8.47,3,20.5,15.5,23.188737,0.587448934044347,0.302334253064916
18,0,2.5,-7.583188,26.311724,19.856845,6.622569,7.926888,0.660468,98562,1.173561,100,5.04,3,20.5,15.5,33.894912,0.0686002623086636,-1.56251470895511
18,0,2.5,-4.239041,25.958051,24.148721,1.856335,8.200668,0.773202,39082,1.173561,152,6.56,3,20.5,15.5,30.197092,-0.0289936797670271,-1.06703484528017
18,0,2.5,6.648008,23.666353,18.977523,4.810641,3.561756,1.281032,16633,1.173561,297,12.34,3,20.5,15.5,17.018345,-0.66137399114781,0.546026289395539
18,0,2.5,4.456551,25.717883,23.232586,2.549861,5.424029,1.077945,43042,1.173561,257,10.53,3,20.5,15.5,21.261332,-0.095266598198556,0.22133278291706
18,0,2.5,-4.111933,27.433725,20.410633,7.205544,7.084089,0.702515,20583,1.173561,164,6.95,3,20.5,15.5,31.545658,0.37820970550299,-1.04820210422184
18,0,2.5,10.424908,30.767391,24.894976,6.024973,4.180119,1.067382,14159,1.173561,89,3.64,3,20.5,15.5,20.342483,1.29811483397957,1.10562426673142
18,0,2.5,-4.348442,24.972049,20.813937,4.266134,7.268918,0.775411,88926,1.173561,191,7.86,3,20.5,15.5,29.320491,-0.301075014996222,-1.08324405874055
18,0,2.5,9.274483,26.700566,23.904874,2.868321,4.226433,1.296939,97994,1.173561,219,9.44,3,20.5,15.5,17.426083,0.175898878896856,0.935173499415203
18,0,2.5,4.031741,25.023642,17.049159,8.181651,3.760477,1.006262,5111,1.173561,284,11.97,3,20.5,15.5,20.991901,-0.286838236238694,0.158391530368129
18,0,2.5,9.533294,29.163283,27.395941,1.813256,5.160169,1.17775,98717,1.173561,81,3.42,3,20.5,15.5,19.629989,0.855470857099372,0.973519791907003
18,0,2.5,11.474816,28.414289,21.012154,7.594434,2.75515,1.226141,38918,1.173561,231,9.05,3,20.5,15.5,16.939473,0.648790457263818,1.26118210336696
