"Location","group","Thermal_hv","Tmean_all","DTR_all","STR_all","group_num","N_all"
"Malaysia","M1",18.6420374583433,20.836979439685,5.0309235733622,9.13811023615748,1,127
"Malaysia","M2",17.6485148692991,18.647291159854,5.36494555194161,9.15481751821168,2,137
"Taiwan","T1",20.8966913223026,18.7582608695652,9.22704047208696,17.8152173913043,1,23
"Taiwan","T2",8.93664478616071,15.7703498931731,6.94309181879808,17.9770512820192,2,104
"Taiwan","T3",9.74355083294008,11.794,6.71042160746667,18.0986666666667,3,30
"China","C1",13.9713404021368,13.6369281058824,10.1859390174706,26.0652941176471,1,51
"China","C2",10.4537915281414,9.13452886708824,9.03254251078431,28.4139542479412,2,102
"China","C3",8.14386720870864,5.87175438596491,10.0361545567018,30.27,3,57
"China","C4",7.9094453251105,3.67242424236364,8.12482848872727,31.3796969690909,4,22
